room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10116505,1440,19626693,Shared room,,Houston,,WESTBURY,0,0.0,1,1.0,,50.0,,Cozy daybed near Houston TMC/DT,2017-07-13 20:03:19.424320,29.650926,-95.489815,0101000020E6100000C685032159DF57C0B81D1A16A3A63D40
13452754,1440,69984222,Shared room,,Houston,,ASTRODOME AREA,1,0.0,4,1.0,,50.0,,Private Room- Male - Medical Center,2017-07-13 20:03:19.421656,29.699664,-95.406653,0101000020E610000080F44D9A06DA57C044300E2E1DB33D40
17024031,1440,97097183,Shared room,,Houston,,UNIVERSITY PLACE,0,0.0,2,1.0,,50.0,,"Walk to NRG Stadium, Medical Center, Free Shuttle!",2017-07-13 20:03:19.417574,29.706953,-95.417258,0101000020E6100000A4FFE55AB4DA57C020CF2EDFFAB43D40
13189578,1440,73813079,Shared room,,Houston,,NEARTOWN - MONTROSE,2,0.0,1,1.0,,50.0,,The Castle,2017-07-13 20:03:19.414701,29.73272,-95.398164,0101000020E6100000739CDB847BD957C00820B58993BB3D40
11718522,1440,62309978,Shared room,,Houston,,SPRING BRANCH CENTRAL,0,0.0,2,1.0,,55.0,,Spot in Houston,2017-07-13 20:03:19.409616,29.808814,-95.509575,0101000020E6100000FDF675E09CE057C0058C2E6F0ECF3D40
16858010,1440,59661165,Shared room,,Houston,,MID WEST,4,4.5,1,1.0,,47.0,,Cozy with nice view from top floor!,2017-07-13 20:03:19.400714,29.737135,-95.524162,0101000020E610000095F3C5DE8BE157C0A9BC1DE1B4BC3D40
14666388,1440,36690358,Shared room,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,4,5.0,3,1.0,,50.0,,A Domiciled Bayou View,2017-07-13 20:03:17.889702,29.76464,-95.39179,0101000020E610000097395D1613D957C0A4367172BFC33D40
15982882,1440,103706271,Shared room,,Houston,,MINNETEX,0,0.0,1,1.0,,50.0,,Couch Surfing Available!,2017-07-13 20:03:17.886900,29.639359,-95.318037,0101000020E6100000C07ADCB75AD457C03C670B08ADA33D40
14910984,1440,76748656,Shared room,,Houston,,GREATER HEIGHTS,0,0.0,2,1.0,,50.0,,For extra guests when booking room,2017-07-13 20:03:17.884247,29.811123,-95.384532,0101000020E6100000FD101B2C9CD857C08D08C6C1A5CF3D40
6213007,1440,32216204,Shared room,,Houston,,DOWNTOWN,1,0.0,2,1.0,,60.0,,Memorial Day Weekend Accomodation,2017-07-13 20:03:17.869072,29.750769,-95.367938,0101000020E6100000293DD34B8CD757C0C2D9AD6532C03D40
17223645,1440,678648,Shared room,,Houston,,SOUTH MAIN,2,0.0,2,1.0,,42.0,,N R G stadium walkabe two blocks,2017-07-13 20:03:17.866943,29.681951,-95.417473,0101000020E6100000A27DACE0B7DA57C079793A5794AE3D40
18707582,1440,23796808,Shared room,,Houston,,SOUTH ACRES / CRESTMONT PARK,0,0.0,1,1.0,,50.0,,Luxury shared one bedroom home,2017-07-13 20:03:17.862744,29.638567,-95.367996,0101000020E6100000C443183F8DD757C0094E7D2079A33D40
10039294,1440,50309693,Shared room,,Houston,,DOWNTOWN,60,4.5,2,1.0,,58.0,,High Rise Downtown Houston Cheap!,2017-07-13 20:03:17.856789,29.751596,-95.36832,0101000020E61000009D9D0C8E92D757C0EECD6F9868C03D40
18401933,1440,5440183,Shared room,,Houston,,MUSEUM PARK,0,0.0,2,1.0,,27.0,,Second Roomate at China Room,2017-07-13 20:03:16.261199,29.73249,-95.380364,0101000020E6100000D9243FE257D857C0A4A5F27684BB3D40
14196243,1440,86099316,Shared room,,Houston,,BRAESWOOD,0,0.0,1,1.0,,10.0,,Shared room near Bayou,2017-07-13 20:03:16.259002,29.688426,-95.443483,0101000020E61000003F55850662DC57C052B7B3AF3CB03D40
13942706,1440,82944519,Shared room,,Houston,,GULFTON,0,0.0,2,1.0,,35.0,,Bienvenido a tu segundo hogar,2017-07-13 20:03:16.256355,29.712714,-95.489857,0101000020E6100000DEAD2CD159DF57C0BE66B96C74B63D40
12826563,1440,69984222,Shared room,,Houston,,MIDTOWN,2,0.0,1,1.0,,30.0,,Female Shared Room -Midtown- Luxury,2017-07-13 20:03:16.250576,29.737123,-95.381281,0101000020E610000084656CE866D857C02121CA17B4BC3D40
8668738,1440,5440183,Shared room,,Houston,,MUSEUM PARK,0,0.0,1,1.0,,27.0,,Best Shared Room Medical Center,2017-07-13 20:03:16.248229,29.732395,-95.380724,0101000020E6100000593332C85DD857C001C11C3D7EBB3D40
7874023,1440,41224,Shared room,,Houston,,MACGREGOR,5,4.5,2,1.0,,16.0,,For the budget traveler,2017-07-13 20:03:16.245519,29.710454,-95.362897,0101000020E610000042B456B439D757C0F84F3750E0B53D40
6750323,1440,35344586,Shared room,,Houston,,MIDTOWN,5,5.0,1,1.0,,35.0,,The Heart of Midtown !,2017-07-13 20:03:16.242612,29.738225,-95.380115,0101000020E6100000056EDDCD53D857C0F0164850FCBC3D40
8211042,1440,35344586,Shared room,,Houston,,MIDTOWN,0,0.0,1,1.0,,35.0,,Shared Room For Female Students,2017-07-13 20:03:14.779855,29.738238,-95.381174,0101000020E61000007905A22765D857C019AA622AFDBC3D40
13297476,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,3,4.5,1,1.0,,30.0,,Shared Room at Texas Medical Center,2017-07-13 20:03:14.776801,29.701031,-95.406695,0101000020E6100000971C774A07DA57C0707B82C476B33D40
7462271,1440,35344586,Shared room,,Houston,,MIDTOWN,5,5.0,1,1.0,,35.0,,Shared Room For Male Students,2017-07-13 20:03:14.773978,29.738358,-95.381229,0101000020E61000005BD2510E66D857C06FBDA60705BD3D40
13164550,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,11,4.5,1,1.0,,30.0,,Medical Students / Shared Rooms,2017-07-13 20:03:14.769749,29.701178,-95.404121,0101000020E61000001EA8531EDDD957C0B8ACC26680B33D40
8309738,1440,35344586,Shared room,,Houston,,MIDTOWN,2,0.0,1,1.0,,35.0,,Shared Room For Female Students,2017-07-13 20:03:14.767012,29.738799,-95.380665,0101000020E6100000D66EBBD05CD857C0485167EE21BD3D40
7341809,1440,35344586,Shared room,,Houston,,MIDTOWN,2,0.0,1,1.0,,40.0,,Shared Apartment For Female Student,2017-07-13 20:03:14.764227,29.739166,-95.379581,0101000020E6100000B64B1B0E4BD857C0AD50A4FB39BD3D40
8489745,1440,35344586,Shared room,,Houston,,MEDICAL CENTER AREA,6,5.0,1,1.0,,30.0,,Shared Rooms At Medical Center,2017-07-13 20:03:14.758119,29.701543,-95.406315,0101000020E6100000F437A11001DA57C0DCBC715298B33D40
7294394,1440,35344586,Shared room,,Houston,,MIDTOWN,4,5.0,1,1.0,,35.0,,Shared Room For Just Male Students,2017-07-13 20:03:14.754885,29.738084,-95.380903,0101000020E6100000B1FCF9B660D857C06CB3B112F3BC3D40
10152718,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,3,3.5,1,1.0,,30.0,,Medical Center / Shared Rooms,2017-07-13 20:03:14.749874,29.697487,-95.406944,0101000020E61000006BD3D85E0BDA57C099620E828EB23D40
8827187,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,3,5.0,1,1.0,,30.0,,Shared Rooms At Medical Center,2017-07-13 20:03:14.747537,29.699963,-95.406227,0101000020E610000024F0879FFFD957C0F96871C630B33D40
13714555,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,3,5.0,1,1.0,,30.0,,TMC / Shared Rooms,2017-07-13 20:03:14.744546,29.70106,-95.406583,0101000020E61000000307B47405DA57C0A4880CAB78B33D40
11302927,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,4,4.5,1,1.0,,30.0,,Shared Rooms At Medical Center,2017-07-13 20:03:14.736786,29.701009,-95.406479,0101000020E6100000B1E07EC003DA57C0A033695375B33D40
8827081,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,3,4.0,1,1.0,,30.0,,Shared Rooms At Medical Center 3017,2017-07-13 20:03:14.734440,29.701067,-95.406384,0101000020E61000008867093202DA57C0094E7D2079B33D40
14136334,1440,41546711,Shared room,,Houston,,SOUTH MAIN,15,4.5,1,1.0,,18.0,,Bunk 3 @ med center and NRG stadium,2017-07-13 20:03:14.730800,29.679017,-95.417483,0101000020E6100000B4E89D0AB8DA57C0946DE00ED4AD3D40
16631248,1440,28062989,Shared room,,Houston,,SECOND WARD,7,4.5,1,1.0,,25.0,,2.C) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:14.726425,29.757226,-95.340086,0101000020E6100000F5F411F8C3D557C04FAE2990D9C13D40
16823149,1440,28062989,Shared room,,Houston,,SECOND WARD,2,0.0,1,1.0,,25.0,,3.F) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:14.723673,29.758316,-95.341383,0101000020E6100000431A1538D9D557C0960854FF20C23D40
16822806,1440,28062989,Shared room,,Houston,,SECOND WARD,5,5.0,1,1.0,,25.0,,2.2) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:12.774221,29.756667,-95.341448,0101000020E61000003752B648DAD557C062F6B2EDB4C13D40
17401579,1440,41546711,Shared room,,Houston,,SOUTH MAIN,2,0.0,1,1.0,,18.0,,Bunk 8 @ Med center & Rice U,2017-07-13 20:03:12.771820,29.680696,-95.419302,0101000020E61000006F490ED8D5DA57C09D84D21742AE3D40
17540044,1440,28062989,Shared room,,Houston,,SECOND WARD,9,4.5,1,1.0,,25.0,,1.A) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:12.769733,29.756444,-95.340688,0101000020E6100000F0880AD5CDD557C063416150A6C13D40
14827416,1440,41546711,Shared room,,Houston,,SOUTH MAIN,27,4.5,1,1.0,,15.0,,Bunk 4 @ Med Center and NRG stadium,2017-07-13 20:03:12.763142,29.677261,-95.415225,0101000020E6100000D3DEE00B93DA57C034DB15FA60AD3D40
17132581,1440,28062989,Shared room,,Houston,,SECOND WARD,17,5.0,1,1.0,,25.0,,1.B) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:12.760035,29.756385,-95.340457,0101000020E61000006F2C280CCAD557C05A2F8672A2C13D40
17607374,1440,5440183,Shared room,,Houston,,MUSEUM PARK,0,0.0,1,1.0,,20.0,,The Really Frugal Privacy Tent,2017-07-13 20:03:12.756828,29.732089,-95.380226,0101000020E6100000B0C56E9F55D857C0E7C2482F6ABB3D40
8475335,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,10,4.5,1,1.0,,30.0,,Shared Rooms At Medical Center,2017-07-13 20:03:12.753574,29.700959,-95.404699,0101000020E6100000546EA296E6D957C03DD68C0C72B33D40
17401171,1440,41546711,Shared room,,Houston,,SOUTH MAIN,4,4.0,1,1.0,,18.0,,Bunk 6 @ NRG and Med center,2017-07-13 20:03:12.750723,29.679064,-95.417853,0101000020E61000004562821ABEDA57C015E46723D7AD3D40
16752524,1440,28062989,Shared room,,Houston,,SECOND WARD,11,5.0,1,1.0,,25.0,,2.D) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:12.748200,29.756484,-95.341786,0101000020E6100000C30E63D2DFD557C080F277EFA8C13D40
18616861,1440,79552792,Shared room,,Houston,,GULFTON,0,0.0,1,1.0,,18.0,,Comfy Living space near Midtown: Heart of Houston,2017-07-13 20:03:12.743467,29.72357,-95.471032,0101000020E6100000A5D7666325DE57C0E15D2EE23BB93D40
7680537,1440,5440183,Shared room,,Houston,,MUSEUM PARK,5,4.5,1,1.0,,22.0,,Frugal Loft  Texas Medical Center,2017-07-13 20:03:12.727834,29.73161,-95.378815,0101000020E6100000FE0E45813ED857C0336DFFCA4ABB3D40
8507562,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,10,4.5,1,1.0,,30.0,,Shared Room For Medical Students,2017-07-13 20:03:12.724177,29.699387,-95.4062,0101000020E6100000A7E8482EFFD957C0603FC4060BB33D40
17449879,1440,28062989,Shared room,,Houston,,SECOND WARD,10,5.0,1,1.0,,25.0,,3.3) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:10.855294,29.756876,-95.340289,0101000020E6100000118C834BC7D557C0962023A0C2C13D40
17766850,1440,114592838,Shared room,,Houston,,ASTRODOME AREA,0,0.0,1,1.0,,30.0,,Shared room around medical center and Herman park,2017-07-13 20:03:10.848337,29.697384,-95.392005,0101000020E610000095B7239C16D957C0F0C000C287B23D40
17533119,1440,46233362,Shared room,,Houston,,GULFTON,0,0.0,2,1.0,,40.0,,It's atown Home 1bed roomapartment,2017-07-13 20:03:10.846173,29.715947,-95.488414,0101000020E6100000263ACB2C42DF57C058AB764D48B73D40
12952396,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,5,4.0,1,1.0,,30.0,,Shared Room At Medical Center,2017-07-13 20:03:10.842250,29.70016,-95.407345,0101000020E61000001B4CC3F011DA57C0A5F78DAF3DB33D40
17721115,1440,120821529,Shared room,,Houston,,CENTRAL SOUTHWEST,0,0.0,4,1.0,,36.0,,Stylish house close to river,2017-07-13 20:03:10.835644,29.610755,-95.406732,0101000020E6100000268FA7E507DA57C055DE8E705A9C3D40
16341063,1440,98468485,Shared room,,Houston,,NEARTOWN - MONTROSE,0,0.0,2,1.0,,40.0,,Simple and clean couch in pvt room,2017-07-13 20:03:10.832732,29.739926,-95.386858,0101000020E61000008B8C0E48C2D857C0C97553CA6BBD3D40
17526250,1440,1441871,Shared room,,Houston,,FAIRBANKS / NORTHWEST CROSSING,0,0.0,1,1.0,,22.0,,"Large, cozy sofa; pool access!",2017-07-13 20:03:10.828081,29.851838,-95.495847,0101000020E610000076340EF5BBDF57C0747D1F0E12DA3D40
16764711,1440,111277302,Shared room,,Houston,,WESTCHASE,0,0.0,1,1.0,,40.0,,walnut Terrace,2017-07-13 20:03:10.825662,29.734224,-95.565981,0101000020E6100000124A5F0839E457C035F0A31AF6BB3D40
18348734,1440,945871,Shared room,,Houston,,BRAYS OAKS,1,0.0,1,1.0,,19.0,,Air mattress NRG Galleria Chinatown by bus station,2017-07-13 20:03:10.823411,29.665277,-95.543497,0101000020E6100000581EA4A7C8E257C0EFC7ED974FAA3D40
19454562,1440,120153672,Shared room,,Houston,,HARRISBURG / MANCHESTER,0,0.0,3,1.0,,34.0,,CLEAN GARDEN PATIO HOUSE 15 MINUTES FROM ANYWHERE,2017-07-13 20:03:10.820661,29.720653,-95.279673,0101000020E6100000C0249529E6D157C0A8C30AB77CB83D40
14723991,1440,69984222,Shared room,,Houston,,ASTRODOME AREA,0,0.0,4,1.0,,30.0,,Shared Male  Room - Medical Center,2017-07-13 20:03:10.817157,29.699456,-95.405949,0101000020E610000003B68311FBD957C0B1FD648C0FB33D40
11912611,1440,61958754,Shared room,,Houston,,GREATER OST / SOUTH UNION,6,4.5,2,1.0,,35.0,,10 minutes away from MED CENTER!,2017-07-13 20:03:08.639770,29.694865,-95.32964,0101000020E610000005DD5ED218D557C0922232ACE2B13D40
17015518,1440,111461255,Shared room,,Houston,,SHARPSTOWN,4,4.5,3,1.0,,19.0,,Private Accommodation in Fully Furnished House,2017-07-13 20:03:08.636937,29.703916,-95.544497,0101000020E61000004AF1F109D9E257C09221C7D633B43D40
17460832,1440,6998475,Shared room,,Houston,,GREATER HEIGHTS,0,0.0,1,1.0,,36.0,,Luxurious extra deep leather couch,2017-07-13 20:03:08.634792,29.785633,-95.372169,0101000020E610000071E5EC9DD1D757C08BA8893E1FC93D40
7834867,1440,36727451,Shared room,,Houston,,BRAESWOOD,29,4.5,2,1.0,,33.0,,Living Room with Private Bathroom,2017-07-13 20:03:08.632225,29.70557,-95.432708,0101000020E6100000ED2DE57CB1DB57C0EA094B3CA0B43D40
16998213,1440,57000828,Shared room,,Houston,,ASTRODOME AREA,0,0.0,2,1.0,,36.0,,Sofa bed in the medical center and close to NRG,2017-07-13 20:03:08.629620,29.697553,-95.401253,0101000020E6100000001B1021AED957C0083A5AD592B23D40
15508664,1440,79552792,Shared room,,Houston,,GULFTON,2,0.0,1,1.0,,15.0,,Comfy Living space near Midtown: Heart of Houston,2017-07-13 20:03:08.609119,29.722175,-95.468955,0101000020E6100000EC12D55B03DE57C022FDF675E0B83D40
18501376,1440,93768525,Shared room,,Houston,,ALIEF,0,0.0,1,1.0,,30.0,,Quiet room in a nice neighborhood in SW area,2017-07-13 20:03:08.599543,29.708931,-95.60586,0101000020E6100000187D0569C6E657C0DE1E84807CB53D40
13434489,1440,41546711,Shared room,,Houston,,SOUTH MAIN,13,4.5,1,1.0,,25.0,,Bunk 1 @ Med center and NRG stadium,2017-07-13 20:03:08.597345,29.681907,-95.417846,0101000020E6100000EC3026FDBDDA57C0D9E9077591AE3D40
13028847,1440,70554125,Shared room,,Houston,,MIDTOWN,3,3.0,1,1.0,,35.0,,Mid Town -Md AndersonShared Room for Male Students,2017-07-13 20:03:08.587677,29.738681,-95.381638,0101000020E61000004B3ACAC16CD857C0342DB1321ABD3D40
17297043,1440,112696963,Shared room,,Houston,,ACRES HOME,0,0.0,6,1.0,,24.0,,We are landlords helping ppl,2017-07-13 20:03:08.581910,29.849336,-95.424276,0101000020E6100000931E865627DB57C0C25087156ED93D40
15846666,1440,96375116,Shared room,,Houston,,DOWNTOWN,1,0.0,1,1.0,,35.0,,Upper kirby,2017-07-13 20:03:08.576769,29.758968,-95.367934,0101000020E610000089450C3B8CD757C0E5B512BA4BC23D40
9029842,1440,44230508,Shared room,,Houston,,UNIVERSITY PLACE,2,0.0,1,1.0,,22.0,,sofa for short term emergency only,2017-07-13 20:03:08.560546,29.705999,-95.411501,0101000020E61000005D514A0856DA57C03A02B859BCB43D40
15144742,1440,60074871,Shared room,,Houston,,SPRING BRANCH CENTRAL,4,5.0,2,1.0,,27.0,,Shared space  ( living room),2017-07-13 20:03:08.550096,29.79745,-95.513543,0101000020E6100000BE8575E3DDE057C0F931E6AE25CC3D40
16984629,1440,30252587,Shared room,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,2,1.0,,27.0,,Peaceful Getaway near Memorial Park,2017-07-13 20:03:08.546531,29.783292,-95.445969,0101000020E6100000E9818FC18ADC57C0EB3713D385C83D40
19751331,1440,139331262,Shared room,,Houston,,SHARPSTOWN,0,0.0,10,1.0,,20.0,,休斯顿 民宿 家庭旅馆,2017-07-13 20:03:06.882477,29.704473,-95.550452,0101000020E61000002481069B3AE357C03EEAAF5758B43D40
15117262,1440,61958754,Shared room,,Houston,,MEDICAL CENTER AREA,8,5.0,2,1.0,,27.0,,Medical Center,2017-07-13 20:03:06.879305,29.700392,-95.388742,0101000020E610000039252026E1D857C04A61DEE34CB33D40
19788427,1440,38074485,Shared room,,Houston,,BRAYS OAKS,0,0.0,1,1.0,,21.0,,Asian Inspired Sanctuary (Loft) Shared,2017-07-13 20:03:06.876801,29.641683,-95.517565,0101000020E61000007923F3C81FE157C030664B5645A43D40
16997330,1440,113478937,Shared room,,Houston,,WILLOWBROOK,3,5.0,6,1.0,,20.0,,1 Large Comfy Sectional,2017-07-13 20:03:06.874331,29.960729,-95.560832,0101000020E610000038A3E6ABE4E357C09C51F355F2F53D40
18806402,1440,69984222,Shared room,,Houston,,ASTRODOME AREA,0,0.0,2,1.0,,25.0,,Shared Female Apartment at Texas Medical Center,2017-07-13 20:03:06.871270,29.700983,-95.406769,0101000020E6100000B401D88008DA57C04E0D349F73B33D40
18855491,1440,803110,Shared room,,Houston,,GREENWAY / UPPER KIRBY AREA,3,5.0,2,1.0,,40.0,,Nice cozy  apt =),2017-07-13 20:03:06.868525,29.731855,-95.427845,0101000020E610000075B0FECF61DB57C0016A6AD95ABB3D40
19823245,1440,139913068,Shared room,,Houston,,WILLOW MEADOWS / WILLOWBEND AREA,0,0.0,3,1.0,,40.0,,Houston Medical center NRG stadium 2 story cottage,2017-07-13 20:03:06.866069,29.664796,-95.444926,0101000020E6100000F7C8E6AA79DC57C0F982161230AA3D40
13452343,1440,76834723,Shared room,,Houston,,CENTRAL SOUTHWEST,3,5.0,2,1.0,,25.0,,"8.9 mi.  from Medical Center...
7.7 mi. From NRG!!",2017-07-13 20:03:06.862637,29.622463,-95.402453,0101000020E6100000554B3ACAC1D957C055F833BC599F3D40
19413119,1440,35344586,Shared room,,Houston,,ASTRODOME AREA,0,0.0,1,1.0,,30.0,,Shared Rooms for Medical Students at TMC,2017-07-13 20:03:06.856359,29.700921,-95.403949,0101000020E61000001F10E84CDAD957C06214048F6FB33D40
19508450,1440,120153672,Shared room,,Houston,,HARRISBURG / MANCHESTER,0,0.0,2,1.0,,30.0,,Queen Memory Foam In East End Garden Patio Home,2017-07-13 20:03:06.853427,29.719701,-95.279091,0101000020E6100000E8667FA0DCD157C004E621533EB83D40
17540351,1440,28062989,Shared room,,Houston,,SECOND WARD,7,5.0,1,1.0,,25.0,,3.E) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:06.849686,29.757098,-95.341765,0101000020E6100000B77A4E7ADFD557C0F4DDAD2CD1C13D40
13495777,1440,41546711,Shared room,,Houston,,SOUTH MAIN,9,4.5,1,1.0,,18.0,,Bunk 5 @ Med Center and NRG stadium,2017-07-13 20:03:06.846862,29.681891,-95.418623,0101000020E61000009E961FB8CADA57C0CE6F986890AE3D40
17964500,1440,16643040,Shared room,,Houston,,GULFTON,5,5.0,1,1.0,,10.0,,Thrifty traveler Galleria Houston,2017-07-13 20:03:06.844539,29.72462,-95.477325,0101000020E61000000B24287E8CDE57C00C0742B280B93D40
19783679,1440,38074485,Shared room,,Houston,,BRAYS OAKS,0,0.0,1,1.0,,21.0,,Asian Inspired Sanctuary Living Room (Shared),2017-07-13 20:03:06.841854,29.644049,-95.519678,0101000020E6100000D89C836742E157C081053065E0A43D40
18087653,1440,124562602,Shared room,,Houston,,ELDRIDGE / WEST OAKS,13,5.0,1,1.0,,18.0,,A Slice of the Sunny Mediterranean,2017-07-13 20:03:06.838067,29.733637,-95.599918,0101000020E61000000892770E65E657C0B4226AA2CFBB3D40
19643050,1440,101533621,Shared room,,Houston,,CENTRAL NORTHWEST,0,0.0,2,1.0,,23.0,,Privacy! Bedroom & bathroom,2017-07-13 20:03:06.828196,29.81996,-95.453138,0101000020E6100000CAA4863600DD57C0350708E6E8D13D40
16583494,1440,28062989,Shared room,,Houston,,SECOND WARD,21,5.0,1,1.0,,25.0,,1.1) Hostel 1mi from Downtown & Metrorail,2017-07-13 20:03:06.824643,29.756655,-95.342151,0101000020E6100000CCD24ECDE5D557C0D95A5F24B4C13D40
8016631,1440,2079091,Entire home/apt,,Houston,,GREATER UPTOWN,1,0.0,6,3.0,,199.0,,Three Bedroom Apartment Galleria,2017-07-13 19:11:56.782595,29.754786,-95.460292,0101000020E610000011A7936C75DD57C0897AC1A739C13D40
6347408,1440,33059848,Entire home/apt,,Houston,,MACGREGOR,15,5.0,7,3.0,,199.0,,Houston Medical Centre Modern Townhome 3.5 mi NRG,2017-07-13 19:11:47.359915,29.710731,-95.382512,0101000020E6100000F7949C137BD857C0DD408177F2B53D40
18107572,1440,106634900,Entire home/apt,,Houston,,MUSEUM PARK,1,0.0,6,3.0,,195.0,,Beautiful 3 bedroom apt. Hermann Park near MDA,2017-07-13 19:11:43.670977,29.718949,-95.383291,0101000020E61000007976F9D687D857C0ED7DAA0A0DB83D40
3301574,1440,13788096,Entire home/apt,,Houston,,GREATER OST / SOUTH UNION,1,0.0,6,3.0,,188.0,,Updated 3br/2ba near downtown & NRG,2017-07-13 18:47:40.530349,29.699666,-95.366318,0101000020E6100000EA7B0DC171D757C0861F9C4F1DB33D40
6489680,1440,13310504,Entire home/apt,,Houston,,GREENWAY / UPPER KIRBY AREA,0,0.0,6,2.0,,195.0,,2BD Luxury Apartment-Greenway Plaza,2017-07-13 18:47:35.805051,29.73048,-95.443251,0101000020E6100000D63A71395EDC57C0D061BEBC00BB3D40
16311851,1440,106634900,Entire home/apt,,Houston,,MUSEUM PARK,2,0.0,6,3.0,,185.0,,Medical Center 3 Bedroom apt. Hermann Park/MDA,2017-07-13 18:47:33.644432,29.718763,-95.380364,0101000020E6100000D9243FE257D857C029931ADA00B83D40
16947591,1440,11118304,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,3,4.5,4,1.0,,71.0,,Entire 1 BR Apt w/KIT - Sleeps 4,2017-07-13 18:37:36.411644,29.749806,-95.396197,0101000020E61000007E71A94A5BD957C036583849F3BF3D40
11963856,1440,63503285,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,1,0.0,4,1.0,,75.0,,Equipped apartment near Memorial Park,2017-07-13 18:37:19.350254,29.784202,-95.447267,0101000020E61000001F65C405A0DC57C032755776C1C83D40
16346882,1440,1394049,Entire home/apt,,Houston,,GREATER HEIGHTS,27,5.0,3,2.0,,65.0,,Oasis in the Houston Heights,2017-07-13 18:36:55.461347,29.786502,-95.392607,0101000020E6100000904B1C7920D957C0143DF03158C93D40
17026642,1440,40533216,Entire home/apt,,Houston,,NEAR NORTHSIDE,0,0.0,4,2.0,,52.0,,Opened up Duplex,2017-07-13 18:36:52.191931,29.784335,-95.357127,0101000020E61000003161342BDBD657C0B01BB62DCAC83D40
15734323,1440,101661820,Entire home/apt,,Houston,,SPRING BRANCH NORTH,0,0.0,8,3.0,,700.0,,Ideally located modern 3 story,2017-07-13 18:05:22.174451,29.823022,-95.538634,0101000020E6100000E0A0BDFA78E257C076E3DD91B1D23D40
16756822,1440,111201538,Entire home/apt,,Houston,,KINGWOOD AREA,0,0.0,10,4.0,,700.0,,Home away from Home ....,2017-07-13 18:02:22.282950,30.036147,-95.248803,0101000020E610000063096B63ECCF57C038D906EE40093E40
3177560,1440,729541,Entire home/apt,,Houston,,NEARTOWN - MONTROSE,0,0.0,4,2.0,,430.0,,Clean and quiet 2/2 for football season,2017-07-13 17:58:44.266837,29.757491,-95.400619,0101000020E610000000CADFBDA3D957C0AC0320EEEAC13D40
16515786,1440,108569315,Entire home/apt,,Houston,,WESTCHASE,0,0.0,5,2.0,,220.0,,HUGE 2-bedroom garage apartment in Energy Corridor,2017-07-13 17:54:17.862428,29.735089,-95.5503,0101000020E610000048BF7D1D38E357C03BA6EECA2EBC3D40
15008578,1440,49271878,Entire home/apt,,Houston,,KINGWOOD AREA,6,5.0,8,4.0,,225.0,,Family Home in the Trees,2017-07-13 17:51:41.342169,30.05894,-95.22276,0101000020E6100000D8B628B341CE57C01E6D1CB1160F3E40
16698076,1440,85950306,Entire home/apt,,Houston,,DOWNTOWN,11,5.0,8,3.0,,217.0,,Modern Townhouse close Downtown Convention Center,2017-07-13 17:51:30.931007,29.742375,-95.355034,0101000020E6100000F5BD86E0B8D657C0355EBA490CBE3D40
19830459,1440,104848984,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,5,3.0,,200.0,,Crockett Gardens - downtown Houston Arts District,2017-07-13 17:51:23.973116,29.774347,-95.369211,0101000020E6100000B4942C27A1D757C076C1E09A3BC63D40
16916063,1440,63730394,Entire home/apt,,Houston,,SOUTH BELT / ELLINGTON,0,0.0,4,1.0,,190.0,,Cozy apartment luxury apartment,2017-07-13 17:51:21.180115,29.619379,-95.224848,0101000020E61000008BA4DDE863CE57C045D4449F8F9E3D40
16186749,1440,16548206,Entire home/apt,,Houston,,WASHINGTON AVENUE COALITION / MEMORIAL PARK,0,0.0,3,0.0,,199.0,,Modern and Private Studio Apartment,2017-07-13 17:51:18.426571,29.766328,-95.377478,0101000020E6100000683D7C9928D857C0540262122EC43D40
16312521,1440,106634900,Entire home/apt,,Houston,,BRAESWOOD,0,0.0,4,2.0,,185.0,,Medical Center 2 bedroom apt. near MDA & Rice Un.,2017-07-13 17:51:17.333616,29.698612,-95.422037,0101000020E6100000ED2C7AA702DB57C0D9976C3CD8B23D40
